transaction_id,mall_name,branch_name,transaction_date,tax_amount,transaction_amount,transaction_type,transaction_status
JO-2504-4466-34760,Z Mall,Z Mall Al Bayader,20/04/2025 20:55,0.152,2.052,Sale,Failed
JO-2504-8444-31356,C Mall,C Mall Amman,20/04/2025 20:37,0.152,2.052,Sale,Failed
JO-2504-3064-71649,Z Mall,Z Mall Gardens,20/04/2025 20:09,0.152,2.052,Sale,Failed
JO-2504-2507-64030,Y Mall,Y Mall Tla'a Al-Ali,17/04/2025 7:03,0.152,2.052,Sale,Failed
JO-2504-1155-35357,C Mall,C Mall Irbid,13/04/2025 6:38,0.07,1.12,Sale,Failed
JO-2504-9356-34850,Z Mall,Z Mall Al Jubeiha,12/04/2025 20:04,0.0035,0.0535,Sale,Failed
JO-2504-5116-65058,Z Mall,Z Mall Al Bayader,29/03/2025 21:17,0.06,0.8,Sale,Failed
JO-2504-8072-48225,Y Mall,Y Mall Shmeisani,25/02/2025 10:19,0.24,3.27,Sale,Failed
JO-2504-7586-81795,Y Mall,Y Mall Tla'a Al-Ali,16/02/2025 19:23,0.38,5.11,Sale,Failed
JO-2504-6847-49531,Z Mall,Z Mall Al Jubeiha,16/02/2025 19:15,1.5,20.3,Sale,Failed
JO-2504-4082-29961,Y Mall,Y Mall Dabouq,16/02/2025 19:09,2.52,33.96,Sale,Failed
JO-2504-2923-58291,C Mall,C Mall Irbid,16/02/2025 19:04,0.05,0.68,Sale,Failed
JO-2504-4535-85980,C Mall,C Mall Amman,16/02/2025 17:47,0.41,5.56,Sale,Failed
JO-2504-8511-73742,C Mall,C Mall Irbid,16/02/2025 17:25,1.32,17.86,Sale,Failed
JO-2504-2185-69867,Y Mall,Y Mall Tla'a Al-Ali,16/02/2025 17:17,0.66,8.96,Sale,Failed
JO-2504-5174-36943,Z Mall,Z Mall Gardens,16/02/2025 16:45,0.06,0.8,Sale,Failed
JO-2504-7313-88510,Z Mall,Z Mall Al Jubeiha,16/02/2025 16:18,0.56,7.49,Sale,Failed
JO-2504-8951-16361,Z Mall,Z Mall Al Bayader,16/02/2025 15:54,0.66,8.96,Sale,Failed
JO-2504-9668-67355,Y Mall,Y Mall Dabouq,16/02/2025 15:29,0.06,0.8,Sale,Failed
